ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
4.000611834,12.70066812,-7.072958202,-13.6456307,19/05/2015,-0.021782557,0.038329113,-1,,0,0,0,-0.021782557,
3.935803459,12.53922409,-6.402846963,-13.71193285,20/05/2015,-0.006668552,0.034054229,-1,,0,0,0,-0.028451109,
3.87269738,11.63572745,-7.871843851,-13.83145135,21/05/2015,0.002017009,0.044504278,-1,,0,0,0,-0.0264341,
3.803296718,10.94163247,-7.434024388,-13.94408958,22/05/2015,-0.011950454,0.026584016,-1,,0,0,0,-0.038384554,
3.610377912,10.56903966,-7.147166633,-14.23081093,25/05/2015,-0.004126097,0.043502231,-1,,0,0,0,-0.042510651,
3.560477356,9.476354775,-6.341127984,-14.30426156,26/05/2015,-0.012615699,0.040923937,-1,,0,0,0,-0.05512635,
3.516170928,9.497591915,-6.15799463,-14.36685689,27/05/2015,0.002290753,0.031347603,-1,,0,0,0,-0.052835597,
3.494968882,9.687542923,-6.701204435,-14.4601305,28/05/2015,0.005831085,0.033413511,-1,,0,0,0,-0.047004512,
3.455357136,8.815680712,-6.644293722,-14.56152029,29/05/2015,0.0037584,0.033609555,-1,,0,0,0,-0.043246112,
3.30510486,8.468885231,-6.553165486,-14.83675052,01/06/2015,-0.00858709,-0.007955643,-1,,0,0,0,-0.051833202,
3.252211702,10.11973614,-5.690095147,-14.88207156,02/06/2015,0.030915875,-0.020915775,-1,,0,0,0,-0.020917327,
3.241194403,11.44756841,-4.199787793,-14.86041348,03/06/2015,0.016689231,-0.012019646,-1,,0,0,0,-0.004228096,
3.226205716,11.24545736,-4.139521261,-14.83548225,04/06/2015,-0.006114823,-0.001804034,-1,,0,0,0,-0.010342919,
3.236165585,11.0532034,-3.252341562,-14.79009605,05/06/2015,-0.014967207,-0.032231942,-1,,0,0,0,-0.025310126,
3.300432396,10.77096059,-2.466374244,-14.59520482,08/06/2015,0.022739196,-0.022066643,-1,,0,0,0,-0.00257093,
3.342391409,10.64524179,-2.308793016,-14.49031541,09/06/2015,-0.000499842,-0.030577522,-1,,0,0,0,-0.003070772,
3.384274871,10.21939744,-1.87219102,-14.3752136,10/06/2015,0.006133168,-0.010039642,-1,,0,0,0,0.003062396,
3.356166786,9.783012575,-1.046179943,-14.26554728,11/06/2015,-0.011088268,-0.033893585,-1,,0,0,0,-0.008025872,
3.356182213,8.859056798,-0.524840861,-14.095606,12/06/2015,0.003505628,-0.036083843,-1,,0,0,0,-0.004520244,
3.319008676,8.691320548,-0.889075985,-13.64854286,15/06/2015,0.002461981,-0.039125738,-1,,0,0,0,-0.002058263,
3.270418131,8.546312305,-1.713280229,-13.57657577,16/06/2015,-0.004936411,-0.061604731,-1,,0,0,0,-0.006994674,
3.233542351,8.461965884,-1.564611825,-13.5057881,17/06/2015,0.013018007,-0.071462527,-1,,0,0,0,0.006023333,
3.176489558,8.998516058,-2.008291859,-13.43422987,18/06/2015,0.003854671,-0.070222182,-1,-1,0,0,0,0.009878004,
3.117157413,8.90467745,-2.34907905,-13.38051437,19/06/2015,-0.002257875,-0.054379354,-1,-1,0,0,0,0.007620129,
2.952054191,8.944985432,-2.547517206,-13.22658943,22/06/2015,-0.001500405,-0.032377166,-1,-1,0,0,0,0.006119724,
2.953073554,12.51310483,-0.104254789,-13.08492528,23/06/2015,-0.022046359,-0.032212458,-1,-1,0,0,0,-0.015926635,
2.897662252,11.83559861,-0.475325627,-12.98325246,24/06/2015,0.004302516,-0.031520577,-1,-1,0,0,0,-0.011624119,
2.853573211,11.02477787,-0.116900986,-12.88561427,25/06/2015,-0.000287541,-0.022521235,-1,-1,0,0,0,-0.01191166,
2.841400906,10.27200243,0.343289044,-12.77659819,26/06/2015,-0.003745249,-0.026803847,-1,-1,0,0,0,-0.015656909,
2.890919055,9.1057892,-1.090796448,-12.50640934,29/06/2015,0.005824308,-0.029640721,-1,-1,0,0,0,-0.009832601,
2.906194293,7.417384314,-2.041265762,-12.49518242,30/06/2015,-0.008391046,-0.025071782,-1,-1,0,0,0,-0.018223647,
2.950282147,6.746688813,-0.678603368,-12.42763748,01/07/2015,-0.010649323,-0.021365636,-1,-1,0,0,0,-0.02887297,
3.006460123,7.012195246,-1.012453332,-12.34681638,02/07/2015,0.003729099,-0.026759644,-1,-1,0,0,0,-0.025143871,
3.085305381,5.707202292,-1.74986612,-12.2923359,03/07/2015,0.002781306,-0.028340654,-1,-1,0,0,0,-0.022362565,
3.291151864,6.092555016,-1.591699233,-12.12826093,06/07/2015,-0.004751595,-0.019496204,-1,-1,0,0,0,-0.02711416,
