ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
45.62930906,3.482773517,14.19566631,28.21354759,12/04/2017,0.006890842,0.046399833,1,,0,0,0,0.006890842,
45.94329516,3.027664041,14.66393434,28.27373263,13/04/2017,-0.006443624,0.05269367,1,,0,0,0,0.000447218,
46.23112833,2.99653032,14.49583633,28.32450228,14/04/2017,7.68E-06,0.064603198,1,,0,0,0,0.000454896,
46.97140514,8.572633729,9.917076231,28.41392795,17/04/2017,0.003298,0.06487463,-1,,0,0,0,0.003752896,
47.21994481,9.037640625,9.405212939,28.41312429,18/04/2017,0.01219733,0.058262921,-1,,0,0,0,0.015950226,
47.44103076,8.892049091,9.338025814,28.40504398,19/04/2017,-0.002866687,0.073017005,-1,,0,0,0,0.013083539,
47.7027531,8.813100774,10.78014351,28.45320852,20/04/2017,0.000785023,0.075941791,-1,,0,0,0,0.013868562,
48.03251464,11.45110546,10.89470563,28.50858354,21/04/2017,0.0013654,0.04730465,-1,,0,0,0,0.015233962,
48.88264345,11.6779771,10.49251417,28.61827073,24/04/2017,0.021084815,0.042141201,-1,,0,0,0,0.036318777,
49.15100024,10.23337253,11.24406888,28.6769158,25/04/2017,0.009433541,0.04490622,-1,,0,0,0,0.045752318,
49.40356506,10.07592176,11.39525097,28.74211186,26/04/2017,-0.003432832,0.045940716,-1,,0,0,0,0.042319486,
49.68182358,12.53401219,12.30275475,28.83941361,27/04/2017,-0.004533512,0.038567558,-1,,0,0,0,0.037785974,
49.94086656,15.93227543,11.45443293,28.90685049,28/04/2017,0.003113284,0.04184809,-1,,0,0,0,0.040899258,
50.60484596,17.67519655,9.307752851,29.00193315,01/05/2017,0.000379593,0.046313296,-1,,0,0,0,0.041278851,
50.86273297,16.87766624,9.168121962,28.93846356,02/05/2017,0.004512441,0.048448671,-1,,0,0,0,0.045791292,
51.11956972,15.97327643,9.821244271,28.87534333,03/05/2017,-0.006261294,0.044206299,-1,,0,0,0,0.039529998,
51.41349236,16.41973579,10.18080265,28.82146217,04/05/2017,0.013615891,0.037601774,-1,,0,0,0,0.053145889,
51.70601958,15.64990149,10.39254326,28.79250798,05/05/2017,0.002871194,0.051695611,-1,,0,0,0,0.056017083,
52.45680215,15.15554669,10.10874035,28.66429817,08/05/2017,-0.010876083,0.055170606,-1,,0,0,0,0.045141,
52.69711463,14.94350369,10.18299572,28.61600762,09/05/2017,-0.005909829,0.049588116,-1,,0,0,0,0.039231171,
52.92289628,15.04406587,10.21877849,28.57032405,10/05/2017,-0.00138173,0.049131521,-1,,0,0,0,0.037849441,
53.16226568,14.49673298,10.13254076,28.50918397,11/05/2017,-0.000712805,0.040671056,-1,,0,0,0,0.037136636,
53.4210586,16.47191728,8.580320863,28.42948463,12/05/2017,0.009710415,0.034772377,-1,-0.714285714,0,0,0,0.046847051,
54.09083819,15.26721533,8.763047938,28.16570132,15/05/2017,0.006301515,0.020827351,-1,-0.80952381,0,0,0,0.053148566,
54.35547379,15.85693511,8.040628131,28.06671667,16/05/2017,0.015207528,-0.000239216,-1,-0.904761905,0,0,0,0.068356094,
54.60954535,15.63037895,7.955596315,27.95330626,17/05/2017,0.012468762,0.014982743,-1,-1,0,0,0,0.080824856,
54.85681727,14.60026603,8.911902878,27.87412476,18/05/2017,-0.009478396,-0.004283522,-1,-1,0,0,0,0.07134646,
55.09265514,14.38345041,8.534058682,27.78809627,19/05/2017,0.015539107,-0.009579154,-1,-1,0,0,0,0.086885567,
55.70250725,13.40934999,8.501367516,27.52173311,22/05/2017,0.004290186,0.002370596,-1,-1,0,0,0,0.091175753,
55.98600689,17.01488316,8.134268269,27.41017089,23/05/2017,-0.007552326,-0.00378816,-1,-1,0,0,0,0.083623427,
56.24398128,16.89398689,8.130853944,27.29367624,24/05/2017,0.004270092,0.001839123,-1,-1,0,0,0,0.087893519,
56.48279983,16.4684712,7.760983086,27.15219271,25/05/2017,-0.000667813,0.004224011,-1,-1,0,0,0,0.087225706,
56.69658634,15.14590365,7.515050375,27.00940872,26/05/2017,-0.003499016,0.028953845,-1,-1,0,0,0,0.08372669,
57.20112579,14.55570904,7.355708562,26.58733466,29/05/2017,-0.004259874,0.031214363,-1,-1,0,0,0,0.079466816,
57.37521406,13.21012853,6.719149616,26.42297454,30/05/2017,0.003660125,0.031532955,-1,-1,0,0,0,0.083126941,
57.54874152,11.56526763,6.062164274,26.16471469,31/05/2017,0.008977647,0.033439307,-1,-1,0,0,0,0.092104588,
57.81123543,11.41080087,6.707329106,25.92189975,01/06/2017,-0.004125919,0.015600848,-1,-1,0,0,0,0.087978669,
58.06415276,12.19006987,6.166775815,25.71838781,02/06/2017,0.009373519,0.017201301,-1,-1,0,0,0,0.097352188,
58.72308988,11.78554995,5.804860041,25.12806917,05/06/2017,-0.003733331,0.014445148,-1,-1,0,0,0,0.093618857,
58.93552857,10.94929272,6.195953003,24.94379788,06/06/2017,0.003217754,0.026278878,-1,-1,0,0,0,0.096836611,
59.1369873,10.18845218,5.658472877,24.75191046,07/06/2017,-0.002434834,0.030738908,-1,-1,0,0,0,0.094401777,
59.33754836,10.41594354,5.18365405,24.56160542,08/06/2017,-0.00696422,0.031212176,-1,-1,0,0,0,0.087437557,
