ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
4.000611834,12.70066812,-7.072958202,-13.6456307,19/05/2015,-0.005640779,0.004378406,-1,,0,0,0,-0.005640779,
3.935803459,12.53922409,-6.402846963,-13.71193285,20/05/2015,0.001225896,0.005913972,-1,,0,0,0,-0.004414883,
3.87269738,11.63572745,-7.871843851,-13.83145135,21/05/2015,-0.000845581,0.005231551,-1,,0,0,0,-0.005260464,
3.803296718,10.94163247,-7.434024388,-13.94408958,22/05/2015,0.000989534,0.007006457,-1,,0,0,0,-0.00427093,
3.610377912,10.56903966,-7.147166633,-14.23081093,25/05/2015,0.000373012,0.010103715,-1,,0,0,0,-0.003897918,
3.560477356,9.476354775,-6.341127984,-14.30426156,26/05/2015,-0.002131587,0.008852849,-1,,0,0,0,-0.006029505,
3.516170928,9.497591915,-6.15799463,-14.36685689,27/05/2015,0.001049443,0.008695289,-1,,0,0,0,-0.004980062,
3.494968882,9.687542923,-6.701204435,-14.4601305,28/05/2015,0.001214614,0.015960339,-1,,0,0,0,-0.003765448,
3.455357136,8.815680712,-6.644293722,-14.56152029,29/05/2015,-0.000410839,0.015284068,-1,,0,0,0,-0.004176287,
3.30510486,8.468885231,-6.553165486,-14.83675052,01/06/2015,-0.000728222,0.016102089,-1,,0,0,0,-0.004904509,
3.252211702,10.11973614,-5.690095147,-14.88207156,02/06/2015,-0.00298009,0.013612915,-1,,0,0,0,-0.007884599,
3.241194403,11.44756841,-4.199787793,-14.86041348,03/06/2015,0.003014256,0.013622483,-1,,0,0,0,-0.004870343,
3.226205716,11.24545736,-4.139521261,-14.83548225,04/06/2015,-0.00028048,0.009903566,-1,,0,0,0,-0.005150823,
3.236165585,11.0532034,-3.252341562,-14.79009605,05/06/2015,0.003373173,0.004394793,-1,,0,0,0,-0.00177765,
3.300432396,10.77096059,-2.466374244,-14.59520482,08/06/2015,0.003202882,0.002908152,-1,,0,0,0,0.001425232,
3.342391409,10.64524179,-2.308793016,-14.49031541,09/06/2015,0.000928919,0.003132346,-1,,0,0,0,0.002354151,
3.384274871,10.21939744,-1.87219102,-14.3752136,10/06/2015,-0.001775876,-0.002030955,1,,0,0,0,0.000578275,
3.356166786,9.783012575,-1.046179943,-14.26554728,11/06/2015,0.002748135,-0.007651224,1,,0,0,0,0.00332641,
3.356182213,8.859056798,-0.524840861,-14.095606,12/06/2015,-0.000436256,-0.006868934,1,,0,0,0,0.002890154,
3.319008676,8.691320548,-0.889075985,-13.64854286,15/06/2015,-0.000228503,-0.006168575,1,,0,0,0,0.002661651,
3.270418131,8.546312305,-1.713280229,-13.57657577,16/06/2015,0.001292013,-0.004190037,-1,,0,0,0,0.003953664,
3.233542351,8.461965884,-1.564611825,-13.5057881,17/06/2015,-0.003338716,-0.005497354,1,,0,0,0,0.000614948,
3.176489558,8.998516058,-2.008291859,-13.43422987,18/06/2015,-0.000651425,-0.006528778,-1,-0.619047619,0,0,0,-3.65E-05,
3.117157413,8.90467745,-2.34907905,-13.38051437,19/06/2015,0.000689985,-0.001885967,-1,-0.523809524,0,0,0,0.000653508,
