ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,SVM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
4.000611834,12.70066812,-7.072958202,-13.6456307,19/05/2015,-0.006928302,-0.012342346,-1,,0,0,0,-0.006928302,
3.935803459,12.53922409,-6.402846963,-13.71193285,20/05/2015,-0.002206816,-0.013668526,-1,,0,0,0,-0.009135118,
3.87269738,11.63572745,-7.871843851,-13.83145135,21/05/2015,0.000655025,-0.010295707,-1,,0,0,0,-0.008480093,
3.803296718,10.94163247,-7.434024388,-13.94408958,22/05/2015,-0.003861728,-0.015953637,-1,,0,0,0,-0.012341821,
3.610377912,10.56903966,-7.147166633,-14.23081093,25/05/2015,-0.001404937,-0.010082737,-1,,0,0,0,-0.013746758,
3.560477356,9.476354775,-6.341127984,-14.30426156,26/05/2015,-0.004424941,-0.010980175,-1,,0,0,0,-0.018171699,
3.516170928,9.497591915,-6.15799463,-14.36685689,27/05/2015,0.000794434,-0.012697524,-1,,0,0,0,-0.017377265,
3.494968882,9.687542923,-6.701204435,-14.4601305,28/05/2015,0.000478044,-0.011799629,-1,,0,0,0,-0.016899221,
3.455357136,8.815680712,-6.644293722,-14.56152029,29/05/2015,-0.000267771,-0.015025382,-1,,0,0,0,-0.017166992,
3.30510486,8.468885231,-6.553165486,-14.83675052,01/06/2015,0.001150406,-0.008346252,-1,,0,0,0,-0.016016586,
3.252211702,10.11973614,-5.690095147,-14.88207156,02/06/2015,-0.008710967,-0.004268698,-1,,0,0,0,-0.024727553,
3.241194403,11.44756841,-4.199787793,-14.86041348,03/06/2015,-0.003424722,-0.004868673,-1,,0,0,0,-0.028152275,
3.226205716,11.24545736,-4.139521261,-14.83548225,04/06/2015,0.000718975,-0.005433141,-1,,0,0,0,-0.0274333,
3.236165585,11.0532034,-3.252341562,-14.79009605,05/06/2015,0.000613827,-0.008223184,-1,,0,0,0,-0.026819473,
3.300432396,10.77096059,-2.466374244,-14.59520482,08/06/2015,0.001900008,-0.006821574,-1,,0,0,0,-0.024919465,
3.342391409,10.64524179,-2.308793016,-14.49031541,09/06/2015,-0.00015931,-0.008759974,-1,,0,0,0,-0.025078775,
3.384274871,10.21939744,-1.87219102,-14.3752136,10/06/2015,0.001473791,-0.001579298,-1,,0,0,0,-0.023604984,
3.356166786,9.783012575,-1.046179943,-14.26554728,11/06/2015,-0.003207816,-0.008740791,-1,,0,0,0,-0.0268128,
3.356182213,8.859056798,-0.524840861,-14.095606,12/06/2015,0.001067915,-0.009397586,-1,,0,0,0,-0.025744885,
3.319008676,8.691320548,-0.889075985,-13.64854286,15/06/2015,0.000737913,-0.010123371,-1,,0,0,0,-0.025006972,
3.270418131,8.546312305,-1.713280229,-13.57657577,16/06/2015,-0.001518057,-0.01663949,-1,,0,0,0,-0.026525029,
3.233542351,8.461965884,-1.564611825,-13.5057881,17/06/2015,0.003928405,-0.019456007,-1,,0,0,0,-0.022596624,
3.176489558,8.998516058,-2.008291859,-13.43422987,18/06/2015,0.00111916,-0.019080804,-1,-1,0,0,0,-0.021477464,
3.117157413,8.90467745,-2.34907905,-13.38051437,19/06/2015,-0.000671155,-0.013710562,-1,-1,0,0,0,-0.022148619,
2.952054191,8.944985432,-2.547517206,-13.22658943,22/06/2015,-0.000488909,-0.007070396,-1,-1,0,0,0,-0.022637528,
2.953073554,12.51310483,-0.104254789,-13.08492528,23/06/2015,-0.007062867,-0.006196349,-1,-1,0,0,0,-0.029700395,
2.897662252,11.83559861,-0.475325627,-12.98325246,24/06/2015,0.001445959,-0.006114434,-1,-1,0,0,0,-0.028254436,
2.853573211,11.02477787,-0.116900986,-12.88561427,25/06/2015,-0.000103004,-0.000311485,-1,-1,0,0,0,-0.02835744,
2.841400906,10.27200243,0.343289044,-12.77659819,26/06/2015,-0.001239305,-0.002320342,-1,-1,0,0,0,-0.029596745,
2.890919055,9.1057892,-1.090796448,-12.50640934,29/06/2015,0.000630124,-0.001740848,-1,-1,0,0,0,-0.028966621,
2.906194293,7.417384314,-2.041265762,-12.49518242,30/06/2015,-0.002075347,3.61E-05,-1,-1,0,0,0,-0.031041968,
2.950282147,6.746688813,-0.678603368,-12.42763748,01/07/2015,-0.002031837,-0.000471491,-1,-1,0,0,0,-0.033073805,
3.006460123,7.012195246,-1.012453332,-12.34681638,02/07/2015,0.000652832,-0.000656781,-1,-1,0,0,0,-0.032420973,
3.085305381,5.707202292,-1.74986612,-12.2923359,03/07/2015,0.000119,-0.001532507,-1,-1,0,0,0,-0.032301973,
3.291151864,6.092555016,-1.591699233,-12.12826093,06/07/2015,4.94E-05,-0.00019758,-1,-1,0,0,0,-0.032252614,
3.344847838,5.691651964,-1.619306551,-12.08047583,07/07/2015,-0.000890035,-0.0004436,-1,-1,0,0,0,-0.033142649,
3.411777396,5.656321568,-1.110694571,-12.00971348,08/07/2015,0.0012423,0.001728081,-1,-1,0,0,0,-0.031900349,
3.474846355,6.308560502,-0.91161248,-11.93653998,09/07/2015,-0.000464609,-0.000100533,-1,-1,0,0,0,-0.032364958,
3.522249633,6.614456149,-0.228005468,-11.8704071,10/07/2015,0.00397286,0.006712531,-1,-1,0,0,0,-0.028392098,
3.626660036,6.450046462,-0.31852152,-11.6669396,13/07/2015,-0.006093578,0.009435231,-1,-1,0,0,0,-0.034485676,
3.621830823,8.139889357,-1.551907813,-11.65034488,14/07/2015,8.11E-05,0.01160655,-1,-1,0,0,0,-0.034404558,
3.549423626,7.837918438,-1.696864084,-11.56267887,15/07/2015,-0.002243842,0.013189496,-1,-1,0,0,0,-0.0366484,
3.486299288,7.769190677,-1.7245636,-11.48628642,16/07/2015,-0.002587714,0.014072852,-1,-1,0,0,0,-0.039236114,
3.460257115,7.283594406,-1.420787311,-11.40115707,17/07/2015,-0.001697357,0.012726332,-1,-1,0,0,0,-0.040933471,
3.384758258,7.074903371,-1.439483541,-11.15814474,20/07/2015,-0.000295952,0.011757655,-1,-1,0,0,0,-0.041229423,
3.358465093,7.007466783,-1.431817798,-11.0814711,21/07/2015,0.004881333,0.016831377,-1,-1,0,0,0,-0.03634809,
3.328028743,6.915895637,-1.34515146,-11.00367324,22/07/2015,-0.000422701,0.020701743,-1,-1,0,0,0,-0.036770791,
3.292537152,5.876003156,-0.660931834,-10.89769981,23/07/2015,0.002320006,0.028490746,-1,-1,0,0,0,-0.034450785,
3.258228186,5.05014932,-3.627937947,-10.95587964,24/07/2015,-2.11E-05,0.021300135,-1,-1,0,0,0,-0.034471874,
3.177043515,5.651456007,-3.303985106,-11.09397796,27/07/2015,0.004563644,0.019136054,-1,-1,0,0,0,-0.02990823,
3.159134839,6.78091656,-4.277273264,-11.16908999,28/07/2015,-0.001378733,0.020604705,-1,-1,0,0,0,-0.031286963,
3.143498235,6.715133217,-4.120002914,-11.23496988,29/07/2015,-0.001495853,0.022061582,-1,-1,0,0,0,-0.032782816,
3.161211578,8.490915963,-3.004246117,-11.25145178,30/07/2015,-0.00025487,0.021530797,-1,-1,0,0,0,-0.033037686,
3.224271768,9.232579519,-2.849098003,-11.25081336,31/07/2015,0.000145222,0.018716024,-1,-1,0,0,0,-0.032892464,
3.367335762,9.847007535,-2.854735353,-11.23614467,03/08/2015,-6.63E-05,0.020620627,-1,-1,0,0,0,-0.032958754,
3.426082712,9.72289165,-2.803700849,-11.21338784,04/08/2015,-0.000826367,0.019461866,-1,-1,0,0,0,-0.033785121,
3.509218105,10.54116339,-0.803618852,-11.0895578,05/08/2015,0.000444892,0.019167499,-1,-1,0,0,0,-0.033340229,
3.598211939,10.96701957,-0.154248207,-10.95233206,06/08/2015,0.00099628,0.018175859,-1,-1,0,0,0,-0.032343949,
3.699350743,9.782706712,-0.885053719,-10.82949566,07/08/2015,0.001707072,0.017456852,-1,-1,0,0,0,-0.030636877,
3.920444498,9.316840591,-1.236104824,-10.53535333,10/08/2015,0.002144246,0.017293772,-1,-1,0,0,0,-0.028492631,
3.947384324,8.443565193,-1.718146297,-10.48274793,11/08/2015,0.000719486,0.016934841,-1,-1,0,0,0,-0.027773145,
3.915701703,8.35024353,-1.743748675,-10.45378369,12/08/2015,0.002803818,0.019480122,-1,-1,0,0,0,-0.024969327,
3.872206733,8.496535596,-2.129011521,-10.43687518,13/08/2015,-7.25E-05,0.019689317,-1,-1,0,0,0,-0.02504185,
3.853225307,7.421771517,-2.472720675,-10.42185081,14/08/2015,-0.001004768,0.018395542,-1,-1,0,0,0,-0.026046618,
