spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
-1.8729844126463093,-1.5958920919693682,-1.4774943265765368,-1.0123506945312646,-0.318285514796809,0.8570167434137659,-5.009815531306896,2018-02-27 17:00:00,1.224,8.170268397861279e-05,1.3764273077612605,0.5968331945065792,,,,,,
-1.626336038744914,-1.5074926857858537,-1.3989789719582777,-1.09344589875516,-0.3324650320049462,0.8497096484573871,-4.1114463622807955,2018-02-27 18:00:00,1.2248,0.0006533812712027076,1.184123275977241,0.5313767393501161,,,,,,
-1.6628684277132024,-1.5548322691759526,-1.4454099447861717,-1.1694041386715253,-0.34718395884887693,0.8421635836518366,-4.113494779529136,2018-02-27 19:00:00,1.2243,-0.0004083132636044373,1.5637356586233846,0.6537774846617057,,,,,,
-1.7399681437880925,-1.6225048148079495,-1.5107238512552978,-1.2451971337337495,-0.36269338827030806,0.8342752381246616,-3.6400914144828413,2018-02-27 20:00:00,1.2236,-0.0005719188031212408,1.821111969711562,0.7213990021901557,,,,,,
-1.8143191643171996,-1.6895559881242952,-1.5756434817467004,-1.3206482104422335,-0.3789870535276829,0.8260452704030838,-5.120663162716195,2018-02-27 21:00:00,1.2229,-0.0005722460814241438,1.730084332232174,0.6988464139062509,,,,,,
-1.6647125488356713,-1.642142543178953,-1.5350317131849076,-1.372254864283781,-0.39465119131902043,0.8180456530097828,-5.542053969842785,2018-02-27 22:00:00,1.2233,0.00032703785754645276,1.3927337435304596,0.6020566222516437,,,,,,
-1.5575382361235324,-1.610662762522059,-1.508983428394994,-1.4073347100939537,-0.40988251276587145,0.8101975279697621,-4.54075384899693,2018-02-27 23:00:00,1.22355,0.0002043443618283125,1.401733249524962,0.6049175700663312,,,,,,
-1.7000468357557879,-1.7034200476321744,-1.5976337679881722,-1.454181866063786,-0.4262226516807776,0.8018759428377928,-5.736883572037584,2018-02-28 00:00:00,1.2226,-0.0007767308200740675,1.5087566915426618,0.6377537510046656,,,,,,
-1.5232632565770963,-1.6353813366237777,-1.5378878757549987,-1.4777447369494436,-0.4416733984435708,0.7938888363982892,-5.162613974133632,2018-02-28 01:00:00,1.2232,0.0004906370202276411,1.6128810354657455,0.6676219923525988,,,,,,
-1.5198358721998269,-1.6504286643920514,-1.5547597323689244,-1.4990585488335064,-0.45726912149217114,0.7858182205479743,-3.8868166694311164,2018-02-28 02:00:00,1.223,-0.0001635189276803506,1.6270757476191855,0.6715373032330054,,,,,,
