Accuracy_Score,Info_Ratio,data_size,ntree,run_time,test_date_st,train_date_st
0.594,0.9225975089238629,1000,5,0 days 00:00:00.037594000,2002-11-18 01:00:00,2002-10-18 04:00:00
0.592,0.8894772714009944,1000,5,0 days 00:00:00.021770000,2002-11-18 02:00:00,2002-10-18 04:00:00
0.592,0.8894772714009944,1000,5,0 days 00:00:00.024488000,2002-11-18 02:00:00,2002-10-18 04:00:00
0.59,0.8956753544017627,1000,5,0 days 00:00:00.015979000,2002-11-18 03:00:00,2002-10-18 04:00:00
0.59,0.8956753544017627,1000,5,0 days 00:00:00.015996000,2002-11-18 03:00:00,2002-10-18 04:00:00
0.59,0.9168764967160811,1000,5,0 days 00:00:00.018980000,2002-11-18 04:00:00,2002-10-18 04:00:00
0.59,0.9168764967160811,1000,5,0 days 00:00:00.041487000,2002-11-18 04:00:00,2002-10-18 04:00:00
0.59,0.9061812315753733,1000,5,0 days 00:00:00.022909000,2002-11-18 05:00:00,2002-10-18 04:00:00
0.59,0.9061812315753733,1000,5,0 days 00:00:00.016001000,2002-11-18 05:00:00,2002-10-18 04:00:00
0.592,0.9273833950190791,1000,5,0 days 00:00:00.022903000,2002-11-18 06:00:00,2002-10-18 04:00:00
0.592,0.9273833950190791,1000,5,0 days 00:00:00.018950000,2002-11-18 06:00:00,2002-10-18 04:00:00
0.594,0.937895520611305,1000,5,0 days 00:00:00.024916000,2002-11-18 07:00:00,2002-10-18 04:00:00
0.594,0.937895520611305,1000,5,0 days 00:00:00.024908000,2002-11-18 07:00:00,2002-10-18 04:00:00
0.594,0.9083338768386726,1000,5,0 days 00:00:00.029147000,2002-11-18 08:00:00,2002-10-18 04:00:00
0.594,0.9083338768386726,1000,5,0 days 00:00:00.016661000,2002-11-18 08:00:00,2002-10-18 04:00:00
0.594,0.9392129372840013,1000,5,0 days 00:00:00.019947000,2002-11-18 09:00:00,2002-10-18 04:00:00
0.594,0.9392129372840013,1000,5,0 days 00:00:00.022945000,2002-11-18 09:00:00,2002-10-18 04:00:00
0.596,1.0893494596118132,1000,5,0 days 00:00:00.021419000,2002-11-18 10:00:00,2002-10-18 04:00:00
0.596,1.0893494596118132,1000,5,0 days 00:00:00.017836000,2002-11-18 10:00:00,2002-10-18 04:00:00
0.598,1.0625186021635666,1000,5,0 days 00:00:00.029440000,2002-11-18 11:00:00,2002-10-18 04:00:00
0.598,1.0625186021635666,1000,5,0 days 00:00:00.019716000,2002-11-18 11:00:00,2002-10-18 04:00:00
0.6,1.0957894945701938,1000,5,0 days 00:00:00.025864000,2002-11-18 12:00:00,2002-10-18 04:00:00
0.6,1.0957894945701938,1000,5,0 days 00:00:00.023036000,2002-11-18 12:00:00,2002-10-18 04:00:00
0.608,1.141740889143937,1000,5,0 days 00:00:00.019948000,2002-11-18 13:00:00,2002-10-18 04:00:00
0.608,1.141740889143937,1000,5,0 days 00:00:00.025520000,2002-11-18 13:00:00,2002-10-18 04:00:00
0.612,1.0882072708318642,1000,5,0 days 00:00:00.020947000,2002-11-18 14:00:00,2002-10-18 04:00:00
0.612,1.0882072708318642,1000,5,0 days 00:00:00.039895000,2002-11-18 14:00:00,2002-10-18 04:00:00
0.61,1.0499560858243926,1000,5,0 days 00:00:00.018983000,2002-11-18 15:00:00,2002-10-18 04:00:00
0.61,1.0499560858243926,1000,5,0 days 00:00:00.018470000,2002-11-18 15:00:00,2002-10-18 04:00:00
